name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications
Celecoxib Cápsula,AINE,200 mg,Una vez al día,400 mg/día,Oral,"Dolor, inflamación (Artritis, etc.)","Molestias GI, riesgo CV","Úlcera péptica, alergia a sulfamidas"
Celecoxib/Tramadol,AINE/Opioide,Celecoxib 200 mg / Tramadol 50-100 mg,Dos veces al día,Celecoxib 400 mg / Tramadol 400 mg día,Oral,Dolor agudo moderado a severo,"Náuseas, vómitos, mareo, somnolencia, estreñimiento, boca seca, riesgo GI/CV, riesgo dependencia opioide","Hipersensibilidad, úlcera péptica, IC grave, intoxicación aguda opioides/alcohol, uso IMAO"
Cemiplimab,Inhibidor PD-1,350 mg,Cada 3 semanas,Sin máx. fijo,IV,"Cáncer de piel (Carcinoma cutáneo de células escamosas, Carcinoma basocelular)","Fatiga, erupción, reacciones inmunitarias",Hipersensibilidad
Cenegermin,Factor Crecimiento Ocular,1 gota (20 mcg/mL),6 veces al día,Sin máx. fijo,Oftálmica,Queratitis neurotrófica,"Dolor ocular, hiperemia conjuntival",Hipersensibilidad
Ceritinib,Inhibidor Tirosina Quinasa,450 mg con comida o 750 mg en ayunas,Una vez al día,750 mg/día,Oral,CPNM avanzado ALK-positivo,"Diarrea, náuseas, vómitos, fatiga, dolor abdominal, disminución apetito, hepatotoxicidad, neumonitis/EPI, hiperglucemia, prolongación QT, bradicardia",Hipersensibilidad
Cerivastatina,Estatina,0.4 mg,Una vez al día,0.8 mg/día,Oral,Colesterol alto,"Dolor muscular (rabdomiólisis), problemas hepáticos","Enf. hepática activa, embarazo"
Certolizumab Pegol,Biológico Anti-TNF,"Carga: 400 mg sem 0, 2, 4; Mantenimiento: 200 mg c/2sem o 400 mg c/4sem",Según fase carga/mantenimiento,400 mg/dosis,Subcutáneo,"Artritis Reumatoide, Crohn, Espondiloartritis axial, Artritis psoriásica, Psoriasis placas","Infecciones, reacción sitio, cefalea, HTA, rash, leucopenia","Hipersensibilidad, tuberculosis activa, infecciones graves, IC moderada/severa"
Certolizumab Pegol,Anti-TNF (Biológico),400 mg,Cada 4 semanas (mantenimiento),400 mg/dosis,Subcutánea,"Enfermedades inflamatorias (Artritis reumatoide, Crohn, Psoriasis)","Infecciones, reacción sitio, riesgo de malignidad","Infecciones activas severas, insuficiencia cardíaca moderada/severa"
Cetirizina/Pseudoefedrina,Antihistamínico/Descongestionante,Cetirizina 5 mg / Pseudoefedrina 120 mg,Dos veces al día,Cetirizina 10 mg / Pseudoefedrina 240 mg día,Oral,Rinitis alérgica con congestión nasal,"Somnolencia/insomnio, boca seca, nerviosismo, taquicardia, HTA, mareo","Hipersensibilidad, glaucoma ángulo estrecho, retención urinaria, HTA severa, enf coronaria severa, uso IMAO"
Cetuximab,Anticuerpo monoclonal (Anti-EGFR),Inicial: 400 mg/m²; Dosis mantenimiento: 250 mg/m² (semanal) o 500 mg/m² (c/2 semanas),Semanal o cada 2 semanas (mantenimiento),500 mg/m²,IV (infusión),"Cáncer colorrectal metastásico (RAS -), Cáncer escamocelular cabeza y cuello","Reacciones cutáneas (rash acneiforme, prurito, sequedad), reacciones a la infusión (incl. anafilaxia), hipomagnesemia, diarrea, fatiga",Hipersensibilidad grave (grado 3-4) a cetuximab
Cetuximab Inyectable,Anticuerpo Monoclonal (Anti-EGFR),"400 mg/m² (dosis inicial), luego 250 mg/m²",Semanal,Sin máx. fijo,IV,"Cáncer colorrectal (tipo KRAS no mutado), Cáncer de cabeza y cuello","Erupción acneiforme, reacciones a la infusión, hipomagnesemia",Hipersensibilidad severa previa
Cevimelina,Colinérgico,30 mg,Tres veces al día,90 mg/día,Oral,Xerostomía en Síndrome Sjögren,"Sudoración excesiva, náuseas, rinitis, diarrea, visión borrosa, poliuria","Hipersensibilidad, asma no controlada, glaucoma ángulo estrecho, iritis aguda"
Cevimelina Clorhidrato,Colinérgico (Agonista Muscarínico),30 mg,3 veces al día,90 mg/día,Oral,Boca seca (Síndrome de Sjögren),"Sudoración, náuseas, rinitis","Asma no controlada, glaucoma de ángulo estrecho"
Chenodiol,Ácido Biliar,250 mg,Dos veces al día,1500 mg/día,Oral,Disolución de cálculos biliares de colesterol,"Diarrea, toxicidad hepática","Enf. hepática severa, embarazo"
Cianocobalamina,Vitamina,IM: 1000 mcg; Oral: 500-2000 mcg,"IM: inicial diario/semanal, luego mensual; Oral: diario",1000 mcg IM; 2000 mcg Oral,"Oral, IM, SC, Intranasal","Anemia perniciosa, Deficiencia de Vitamina B12","Generalmente bien tolerado, rash, prurito, diarrea leve, hipopotasemia, anafilaxia IM","Hipersensibilidad a cobalaminas/cobalto, Enfermedad de Leber"
Cianocobalamina (Vitamina B12),Vitamina,100-1000 mcg,"Diario/Semanal(inicial); Mensual (mantenimiento)""",Sin máx. fijo,IM/SC profunda,"Deficiencia de Vitamina B12 (anemia perniciosa, post-gastrectomía, malabsorción)","Dolor leve sitio, (Raro: hipopotasemia al inicio de terapia intensiva, reacción anafiláctica)","Hipersensibilidad al cobalto o cianocobalamina, Enfermedad de Leber"
Ciclesonida,Corticosteroide inhalado,Asma (adultos/adolescentes ≥12a): 80-160 mcg (hasta 320 mcg según severidad); Rinitis (nasal): 50 mcg/fosa nasal,Asma: 1-2 veces al día; Rinitis: 1 vez/día,Asma: 640 mcg/día; Rinitis: 200 mcg/día,"Inhalación oral, Intranasal","Asma persistente, Rinitis alérgica estacional y perenne","Oral: Candidiasis orofaríngea, ronquera, irritación garganta; Nasal: Irritación/sequedad nasal, epistaxis, cefalea","Hipersensibilidad, estado asmático, infecciones no tratadas (tuberculosis activa)"
Ciclesonida Inhalación,Corticosteroide,80-160 mcg,Una o dos veces al día,640 mcg/día,Inhalación,Asma,"Irritación de garganta, candidiasis oral, ronquera","Hipersensibilidad, estado asmático, infecciones respiratorias no tratadas"
Ciclesonida Nasal,Corticosteroide,Inicial: 2 sprays/fosa nasal; Mant: 1 spray/fosa nasal,Una vez al día,256 mcg/día,Nasal,Rinitis alérgica,"Irritación nasal, epistaxis, cefalea","Hipersensibilidad, infecciones nasales no tratadas"
Ciclizina,Antihistamínico,50 mg,Hasta 3 veces al día,150 mg/día,Oral IM IV,"Náuseas, Vómitos, Cinetosis, Vértigo","Somnolencia, boca seca, visión borrosa, retención urinaria","Hipersensibilidad, glaucoma ángulo estrecho"
Ciclizina Clorhidrato,Antihistamínico (1ª gen piperazina)- Antiemético,50 mg,"Cada 4-6 horas según necesidad (máx 3 dosis/día)""",150 mg/día (oral); 100 mg/día (parenteral),Oral/IM/IV,"Náuseas y vómitos (postoperatorio, mareo por movimiento)","Somnolencia, boca seca, visión borrosa, retención urinaria","Hipersensibilidad, glaucoma de ángulo estrecho, retención urinaria"
Ciclobenzaprina LP,Relajante Muscular,15 mg,"Una vez al día""",30 mg/día,Oral,Espasmos musculares,"Somnolencia, boca seca, mareo, fatiga","Uso concomitante o reciente (14 días) de IMAO, fase aguda recuperación post-IM, arritmias, hipertiroidismo"
Ciclofosfamida,Agente Alquilante,Oral 1-5 mg/kg/día; IV 40-50 mg/kg/ciclo,Según régimen ciclo,5 mg/kg/día Oral; 50 mg/kg/ciclo IV,"Oral, IV","Leucemias, Linfomas, Mieloma Múltiple, Cáncer mama/ovario/pulmón, Sarcomas, Enfermedades autoinmunes graves","Mielosupresión, cistitis hemorrágica, alopecia, infertilidad, SIADH, cardiotoxicidad, segundas neoplasias","Hipersensibilidad, mielosupresión severa, cistitis aguda, obstrucción flujo urinario, infecciones activas, embarazo, lactancia"
Ciclofosfamida,Agente Alquilante (Mostaza nitrogenada),400-1800 mg/m² IV intermitente; 1-5 mg/kg/día oral,"Según protocolo""","Depende de régimen, toxicidad y respuesta","IV/Oral,Neoplasias (linfoma",leucemia,mama,ovario
Ciclopentolato Clorhidrato,Anticolinérgico (Midriático/Ciclopléjico),"1 gota (0.5%, 1% o 2%)","Repetir en 5-10 min si necesario (examen)""",Sin máx. fijo,Oftálmica,Inducción de midriasis (dilatación pupilar) y cicloplejía (parálisis acomodación) para diagnóstico/cirugía,"Visión borrosa, fotofobia, ardor local, (Efectos sistémicos: taquicardia, confusión)","Glaucoma de ángulo estrecho, hipersensibilidad"
Ciclopirox,Antifúngico (Hidroxipiridona),Crema/Gel/Laca ungueal 0.77-1%,"Una o dos veces al día (según formulación)""",Sin máx. fijo,Tópica,"Infecciones fúngicas cutáneas (tiña, candidiasis), onicomicosis (laca)","Irritación local, ardor, enrojecimiento",Hipersensibilidad
Cicloserina,Antimicobacteriano,250 mg,Dos veces al día,1000 mg/día,Oral,Tuberculosis activa resistente,"Somnolencia, mareo, cefalea, confusión, convulsiones, psicosis, neuropatía periférica, anemia megaloblástica","Hipersensibilidad, epilepsia, depresión, ansiedad severa, psicosis, alcoholismo, I.R. grave"
Ciclosporina,Inmunosupresor,Inicial Trasplante: 10-15 mg/kg/día; Inicial Autoinmunes: 2.5-5 mg/kg/día,Dividido en 2 tomas diarias,15 mg/kg/día,Oral IV Oftálmica,"Profilaxis rechazo trasplante, Uveítis endógena, Psoriasis grave, Síndrome nefrótico, Artritis reumatoide grave, Dermatitis atópica grave","Nefrotoxicidad, hipertensión, neurotoxicidad, hiperplasia gingival, hirsutismo, hiperlipidemia, hiperglucemia, riesgo infecciones, riesgo neoplasias","Hipersensibilidad, HTA no controlada, I.R., infecciones no controladas, neoplasias malignas"
Ciclosporina Oftálmica,Inmunosupresor (Inhibidor de calcineurina),1 gota (Emulsión 0.05% o Solución 0.09%),Cada 12 horas (mañana y noche),Sin máx. fijo,Oftálmica,Queratoconjuntivitis seca crónica (Síndrome de Ojo Seco) con inflamación ocular,"Ardor/escozor ocular al instilar, hiperemia conjuntival, secreción ocular","Infección ocular activa, hipersensibilidad"
Cidofovir,Antiviral,Inducción: 5 mg/kg; Mantenimiento: 5 mg/kg,Inducción: Semanal x 2 semanas; Mantenimiento: Cada 2 semanas,5 mg/kg,IV (infusión lenta >1h,Retinitis por Citomegalovirus (CMV),"Nefrotoxicidad (dosis limitante), neutropenia, fiebre, astenia, diarrea, uveítis/iritis, hipotonía ocular","Hipersensibilidad, I.R. preexistente (CrS >1.5 mg/dL, ClCr ≤55 ml/min, proteinuria ≥2+)"
Cidofovir Inyectable,Antiviral,Inducción: 5 mg/kg; Mantenimiento: 5 mg/kg,Inducción: Semanal x 2 sem; Mantenimiento: Cada 2 semanas,5 mg/kg,IV,Retinitis por CMV,"Nefrotoxicidad, neutropenia, fiebre, astenia, náuseas","Hipersensibilidad, I.R. preexistente"
Cidofovir Tópico,Antiviral,Gel 1%,"Una vez al día""",Sin máx. fijo,Tópica,"Verrugas resistentes, Molusco contagioso (uso off-label/compuesto)","Irritación severa, eritema, dolor, ulceración","Hipersensibilidad, insuficiencia renal (riesgo sistémico si absorción)"
Cilazapril,IECA,2.5 mg,Una vez al día,5 mg/día,Oral,"Hipertensión, insuficiencia cardíaca","Tos seca, hipotensión, mareo, angioedema","Embarazo, lactancia, angioedema previo por IECA, estenosis bilateral arteria renal"
Cilostazol,Inhibidor Fosfodiesterasa III - Antiplaquetario - Vasodilatador,100 mg,Dos veces al día,200 mg/día,Oral,Claudicación intermitente,"Cefalea, diarrea, palpitaciones, mareo, dolor abdominal, edema periférico, sangrado","Hipersensibilidad, Insuficiencia cardíaca congestiva, predisposición hemorrágica, I.R. grave (ClCr ≤25), I.H. moderada/grave"
Cilostazol,Inhibidor Fosfodiesterasa 3 / Antiplaquetario,100 mg,Dos veces al día,200 mg/día,Oral,Claudicación intermitente,"Cefalea, diarrea, palpitaciones, mareo",Insuficiencia cardíaca congestiva de cualquier grado
Cimetidina,Antagonista H2,Úlcera/ERGE: 400 mg 2 veces/día o 800 mg HS; Prevención: 400 mg HS; Zollinger-Ellison: 300 mg 4 veces día,1-4 veces al día según indicación,2400 mg/día,Oral IV IM,"Úlcera duodenal/gástrica (tto, mantenimiento), ERGE, Síndrome Zollinger-Ellison, Prevención úlcera estrés","Cefalea, mareo, somnolencia, diarrea, ginecomastia, impotencia, confusión, interacciones CYP450",Hipersensibilidad
Cimetidina,Bloqueador H2,400 mg,"Dos veces al día (o 800 mg al acostarse)""",1600 mg/día; hasta 2400 mg/día (hipersecreción),Oral,"Úlcera péptica (gástrica/duodenal), ERGE, pirosis, sínd. Zollinger-Ellison","Cefalea, mareo, confusión (ancianos/renal), ginecomastia (uso prolongado)","Hipersensibilidad, precaución en insuficiencia renal (ajustar dosis), múltiples interacciones CYP450"
Cinacalcet,Calcimimético,"HPT 2ario (diálisis): Inicial 30 mg día, titular; Ca Paratiroideo/HPT 1ario: Inicial 30 mg 2 veces/día, titular",HPT 2ario 1 vez día; HPT 1ario 2 veces día,HPT 2ario: 180 mg/día; Ca Paratiroideo/HPT 1ario: 90 mg 4 veces día (360 mg/día),Oral,Hiperparatiroidismo secundario (HPT 2ario) en pacientes con ERC en diálisis; Hipercalcemia en carcinoma paratiroideo; Hipercalcemia en HPT primario (si paratiroidectomía no es opción),"hipocalcemia, parestesias, mialgias, astenia, convulsiones","Hipersensibilidad, hipocalcemia preexistente"
Cinacalcet Clorhidrato,Calcimimético,30 mg,Una vez al día (titular según Ca/PTH),180 mg/día (o más según respuesta),Oral,"Hiperparatiroidismo secundario (en ERC con diálisis), Carcinoma de paratiroides (Hipercalcemia)","Náuseas, vómitos, hipocalcemia, cefalea","Hipersensibilidad, hipocalcemia basal (< LSN)"
Cinarizina,"Antihistamínico (1ª gen.) / Bloqueador Canales Ca+""",15-30 mg,Hasta 3 veces al día,90 mg/día,Oral,"Vértigo, profilaxis migraña, mareo por movimiento, trastornos circulatorios periféricos/cerebrales","Somnolencia, boca seca, aumento de peso, síntomas extrapiramidales (raro, uso prolongado)","Hipersensibilidad, parkinsonismo (puede empeorar)"
Cinchocaína,Anestésico local,Aplicar ungüento 0.5%,Según necesidad,Ungüento 0.5%,Tópico,Alivio dolor local,"Irritación, sensibilización",Hipersensibilidad
Cincocaína Clorhidrato (Dibucaína),Anestésico Local (Tipo amida),Pomada 0.5-1%,Según necesidad (2-4 veces/día),Sin máx. fijo (uso tópico limitado),Tópica,"Alivio temporal del dolor/prurito (hemorroides, quemaduras leves, picaduras)","Irritación local, dermatitis de contacto",Hipersensibilidad a anestésicos tipo amida
Ciprofloxacino,Antibiótico Fluoroquinolona,500-1000 mg,Una vez al día,1000 mg/día,Oral,"Infecciones tracto urinario complicadas, Pielonefritis aguda","Náuseas, diarrea, cefalea, riesgo tendinitis/rotura tendón, efectos SNC","Hipersensibilidad a quinolonas, miastenia gravis, uso tizanidina"
Ciprofloxacino/Dexametasona,Antibiótico (Fluoroquinolona) / Corticosteroide,3-4 gotas,Dos veces al día (cada 12 horas),4 veces día,Ótico,"Otitis externa aguda, Otitis media aguda","Molestias en oído, prurito en oído, congestión oído, crecimiento fúngico (uso prolongado)","Hipersensibilidad a quinolonas/corticoides, perforación timpánica conocida/sospechada (en otitis externa), infecciones víricas/fúngicas oído"
Ciprofloxacino/Hidrocortisona,Antibiótico (Fluoroquinolona)/Corticosteroide,3 gotas,Dos veces al día (por 7 días),Sin máx. fijo (curso corto),Ótica,Otitis externa bacteriana aguda,"Prurito, irritación local, sobreinfección fúngica","Hipersensibilidad a componentes, perforación timpánica conocida/sospechada, infección viral/fúngica oído"
Ciproheptadina,Antihistamínico,Adultos: 4 mg; Niños 7-14a: 4 mg; Niños 2-6a: 2 mg,2-3 veces al día,32 mg/día,Oral,"Rinitis alérgica, urticaria, prurito, profilaxis migraña, estimulación apetito","Somnolencia, sedación, aumento de peso/apetito, boca seca, mareo, confusión, efectos anticolinérgicos","Hipersensibilidad, glaucoma ángulo estrecho, úlcera péptica estenosante, HBP sintomática, obstrucción cuello vesical, crisis asmática aguda, niños <2 años, lactancia"
Ciproheptadina Clorhidrato,Antihistamínico (1ª gen) / Antiserotoninérgico,4 mg,3 veces al día,0.5 mg/kg/día o máx 32 mg/día (adultos),Oral,"Rinitis alérgica, urticaria, prurito; (Off-label: estimulación del apetito, profilaxis migraña, síndrome serotoninérgico)","Somnolencia significativa, aumento de peso y apetito, boca seca, mareo","Glaucoma de ángulo estrecho, úlcera péptica estenosante, obstrucción cuello vesical, uso IMAO, neonatos/prematuros"
Ciproterona Acetato,Antiandrógeno,Cáncer próstata: 100-150 mg 2 veces/día/TID; Hirsutismo/Acné mujer: 25-100 mg/día cíclico,1-3 veces al día según indicación,300 mg/día,Oral,Reducción impulso sexual desviaciones sexuales hombre; Tto antiandrogénico cáncer próstata; Hirsutismo/Acné/Alopecia androgénica mujer,"Disminución li2 veces/díao, disfunción eréctil, fatiga, hepatotoxicidad, ginecomastia, depresión, aumento/disminución peso, riesgo tromboembolismo, meningioma","Hipersensibilidad, enfermedad hepática, síndrome Dubin-Johnson/Rotor, depresión severa, enf tromboembólica, meningioma, embarazo, lactancia"
Ciproterona Acetato,Antiandrógeno (esteroideo) / Progestágeno,50-100 mg,Una a dos veces al día (según indicación),200-300 mg/día,Oral,"Cáncer de próstata avanzado, reducción impulso sexual en parafilias, hirsutismo severo (mujeres)","Ginecomastia, disfunción eréctil, fatiga, toxicidad hepática, depresión, tromboembolismo","Enfermedad hepática activa o severa, embarazo, lactancia, antecedentes de meningioma, depresión severa"
Cisatracurio Besilato,Bloqueador Neuromuscular,Inicial: 0.1-0.2 mg/kg; Mantenimiento: 0.02-0.03 mg/kg o infusión,Bolos IV según necesidad o infusión continua,0.2 mg/kg,IV,Relajación muscular cirugía/UCI,"Bradicardia, hipotensión, flushing, broncoespasmo, rash",Hipersensibilidad a cisatracurio/atracurio/ácido bencensulfónico
Cisatracurio Besilato,Bloqueante Neuromuscular (No despolarizante bencilisoquinolinio),0.15-0.2 mg/kg (bolo inicial); infusión 1-3 mcg/kg/min,Según necesidad (monitorización neuromuscular),Sin máx. fijo (basado en respuesta y monitorización),IV,Relajación muscular en anestesia general y UCI,"Bradicardia, hipotensión, broncoespasmo, rubor cutáneo",Hipersensibilidad a cisatracurio o atracurio
Cisplatino,Agente alquilante,20 mg/m²/día x 5 días; o 50-120 mg/m² dosis única),Ciclos cada 3-4 semanas,Dosis limitada por toxicidad acumulativa (nefro/oto/neuro),IV,"Cáncer testicular, ovárico, vesical, pulmón, cabeza/cuello, cervical","Nefrotoxicidad, Ototoxicidad, Neuropatía periférica, Náuseas/Vómitos intensos, Mielosupresión, Desequilibrio electrolítico","Hipersensibilidad a cisplatino/platino, I.R. preexistente grave, mielosupresión significativa, deterioro auditivo preexistente, embarazo, lactancia"
Cisteamina Clorhidrato,Colirio (Agente reductor de cistina),Gotas 0.44%,Instilar cada hora durante las horas de vigilia,Sin máx. fijo,Oftálmica,Tratamiento de los depósitos corneales de cristales de cistina en pacientes con Cistinosis,"Irritación ocular, dolor, enrojecimiento, fotofobia, visión borrosa",Hipersensibilidad
Citalopram Bromhidrato,ISRS (Inhibidor Selectivo Recaptación Serotonina),20 mg,Una vez al día,40 mg/día (Max 20mg en >60 años/hepático/inhibidores CYP2C19),"Oral,Depresión mayor",trastorno de pánico,"ansiedad""","Náuseas, boca seca, somnolencia, sudoración, prolongación QT"
Citalopram/Escitalopram,ISRS (Inhibidor Selectivo Recaptación Serotonina),Citalopram: 20-40 mg/día; Escitalopram: 10-20 mg/día,1 vez/día,Citalopram: 40 mg/día (20 mg en >65a/I.H.); Escitalopram: 20 mg/día (10 mg en >65a/I.H.),Oral,"Depresión mayor, Trastorno de angustia, Trastorno ansiedad social, Trastorno ansiedad generalizada, TOC","Náuseas, boca seca, somnolencia/insomnio, sudoración aumentada, disfunción sexual, cefalea, prolongación QT","Hipersensibilidad, uso concomitante IMAO (o en 14 días), uso concomitante pimozida, prolongación QT congénita/conocida (Citalopram)"
Citarabina,Antimetabolito,Inducción LMA: 100-200 mg/m²/día; Dosis altas: 1-3 g/m²; Intratecal: 5-75 mg/m²,Según régimen infusión/bolos/intratecal,3 g/m² cada 12h,"IV, SC, Intratecal","Leucemia Mieloide Aguda, Leucemia Linfoblástica Aguda, Linfoma no Hodgkin, Leucemia meníngea","Mielosupresión severa, síndrome de citarabina, toxicidad gastrointestinal, neurotoxicidad, toxicidad ocular, hepatotoxicidad","Hipersensibilidad, mielosupresión inducida preexistente, infecciones activas no controladas"
Citarabina (Ara-C),Antimetabolito (Análogo de pirimidina),100-200 mg/m²/día infusión continua 7 días; Dosis altas: 1-3 g/m² cada 12h por varios días,Según protocolo (infusión continua-bolos),"Depende de régimen, toxicidad y respuesta",IV/SC/Intratecal (IT),"Leucemia Mieloide Aguda (LMA), Leucemia Linfoblástica Aguda (LLA), Linfoma no Hodgkin","Mielosupresión severa (pancitopenia), náuseas, vómitos, mucositis, síndrome de citarabina (fiebre, mialgia, rash), neurotoxicidad (dosis altas)","Hipersensibilidad, infecciones activas no controladas (relativo)"
Cladribina,Antimetabolito,Leucemia Células Pilosas (LCP): 0.09-0.1 mg/kg/día IV infusión continua x 7 días; Esclerosis Múltiple Recurrente (EMR): 3.5 mg/kg oral total en 2 años (cursos cortos),"LCP: Infusión continua 7 días; EMR: Cursos orales anuales (ej: 4-5 días cada mes x 2 meses, repetir año 2)",Dosis según pauta específica para LCP o EMR,"IV (LCP), Oral (EMR)","Leucemia de Células Pilosas, Formas recurrentes de Esclerosis Múltiple","Linfopenia, Mielosupresión , Infecciones, Cefalea, Náuseas, Rash, Riesgo neoplasias","Hipersensibilidad, Infección VIH activa, Tuberculosis activa, Infecciones crónicas activas, I.R./I.H. moderada/grave (IV), Embarazo, Lactancia, Neoplasia maligna activa (EMR)"
Cladribina,Antimetabolito (Análogo de purina),0.09-0.14 mg/kg/día (régimen leucemia) o cursos anuales (EM),"Diario por 5-7 días (ciclo leucemia) o cursos anuales (EM)""",Sin máx. fijo (por ciclo/curso),IV/SC (EM usa oral),"Leucemia de células pilosas (HCL), LLC, Esclerosis Múltiple Recurrente (EMR)","Linfopenia severa, mielosupresión, infecciones, fatiga, cefalea","Infecciones activas, embarazo, lactancia, malignidad activa (EM)"
Claritromicina,Antibiótico Macrólido,1000 mg,Una vez al día,1000 mg/día,Oral,"Infecciones respiratorias, Infecciones piel","Dolor abdominal, cefalea, prolongación QT","Hipersensibilidad a macrólidos, uso concomitante cisaprida/pimozida/astemizol/terfenadina/ergotamínicos, QT largo, hipokalemia"
Clemastina,Antihistamínico,1 mg,Cada 12 horas,2.68 mg/día,Oral,"Rinitis alérgica, urticaria","Somnolencia, boca seca, mareo","Glaucoma, crisis asmática aguda, niños <3 años"
Clemastina Fumarato,Antihistamínico (1ª gen etanolamina),1.34 mg,Dos veces al día,8.04 mg/día (2.68 mg TID),Oral,"Rinitis alérgica, urticaria","Somnolencia marcada, boca seca, mareo, espesamiento secreciones bronquiales","Glaucoma de ángulo estrecho, obstrucción piloroduodenal, hipertrofia prostática sintomática"
Clenbuterol (Clembuterol),Agonista Beta-2 Adrenérgico,0.02 mg (20 mcg),Dos veces al día,0.04-0.08 mg/día (Dosis terapéutica; abuso >),Oral,Asma (uso limitado); (Abuso: dopaje/adelgazamiento),"Taquicardia, temblores, ansiedad, palpitaciones, arritmias, hipopotasemia","Hipersensibilidad, tirotoxicosis, enfermedad cardíaca severa (estenosis subaórtica hipertrófica)"
Clevidipina,Bloq Canales Ca Dihidropiridina,"Inicial: 1-2 mg/h; doblar dosis cada 90 min, hasta metas",Infusión IV continua,21mg/h,IV,Emergencia Hipertensiva,"Cefalea, náuseas, taquicardia refleja, hipotensión","Hipersensibilidad, alergia soja/huevo, estenosis aórtica severa, defecto metabolismo lípidos"
Clidinio Bromuro,Anticolinérgico (Antimuscarínico),2.5 mg,3-4 veces al día (AC y HS),10-20 mg/día,Oral,Síndrome de intestino irritable (SII) (generalmente en combinación con clordiazepóxido),"Boca seca, visión borrosa, estreñimiento, retención urinaria, confusión (ancianos)","Glaucoma de ángulo estrecho, uropatía obstructiva (HPB severa), íleo paralítico, miastenia gravis"
Clindamicina,Antibiótico,Oral: 150-450 mg; IV/IM: 600-900 mg,Cada 6-8 horas,4.8 g/día,"Oral IV IM, Tópica","Infecciones bacterianas anaerobias, cocos Gram+, acné, vaginosis","Diarrea, colitis pseudomembranosa, náuseas, rash",Hipersensibilidad a clindamicina/lincomicina
Clindamicina Fosfato,Antibiótico (Lincosamida),Gel/Loción/Solución 1%,Una o dos veces al día,Sin máx. fijo,Tópica,Acné vulgar inflamatorio,"Sequedad, irritación, eritema, (Raro: colitis pseudomembranosa por absorción sistémica)","Hipersensibilidad, antecedentes de enteritis regional, colitis ulcerosa o colitis asociada a antibióticos"
Clobazam,Benzodiacepina,Inicial: 5-10 mg; Mantenimiento: 20-40 mg,Una o dos veces al día,40 mg/día,Oral,Convulsiones asociadas a Síndrome Lennox-Gastaut,"Somnolencia, sedación, fiebre, vómitos, babeo, agresividad, dependencia","Hipersensibilidad a benzodiazepinas, miastenia gravis, insuficiencia respiratoria severa, apnea sueño, I.H. severa"
Clobetasol,Corticosteroide Tópico,Aplicar fina capa crema/ungüento 0.05%,1-2 veces al día,50 g/semana,Tópico,"Dermatosis inflamatorias severas, Psoriasis, eccema recalcitrante","Atrofia cutánea, estrías, telangiectasias, supresión eje HHA","Hipersensibilidad, rosácea, acné vulgar, dermatitis perioral, infecciones cutáneas primarias, niños <1 año"
Clobetasol Propionato,Corticosteroide Tópico (Muy alta potencia),Crema/Pomada/Espuma/Etc. 0.05%,Una o dos veces al día (máx 2-4 sem continuas),No exceder 50 g/semana,Tópica,"Trastornos cutáneos inflamatorios severos y resistentes (Psoriasis en placas, eczema severo)","Adelgazamiento cutáneo, estrías, telangiectasias, supresión eje HHA, dermatitis perioral","Infecciones cutáneas no tratadas (bacteriana, fúngica, viral), rosácea, acné vulgar"
Clocortolona Pivalato,Corticosteroide Tópico,Aplicar crema 0.1%,2-3 veces al día,0.1% crema,Tópico,Dermatosis inflamatorias corticosensibles,"Ardor, prurito, irritación, sequedad, foliculitis, atrofia cutánea","Hipersensibilidad, infecciones cutáneas primarias"
Clocortolona Pivalato,Corticosteroide Tópico (Potencia media-alta),Crema 0.1%,Dos o tres veces al día,Sin máx. fijo (limitar duración/área),Tópica,Dermatosis inflamatorias y pruriginosas sensibles a corticoides,"Atrofia cutánea (uso prolongado), foliculitis, hipertricosis","Infecciones cutáneas no tratadas, hipersensibilidad"
Clodronato Disódico,Bifosfonato,1600 mg,Una vez al día,3200 mg/día,"Oral, IV",Hipercalcemia malignidad; Osteolisis metastásica,"Hipocalcemia asintomática, diarrea, náuseas, aumento transaminasas, reacciones hipersensibilidad","Hipersensibilidad a bifosfonatos, I.R. severa"
Clofarabina,Antimetabolito,52 mg/m²,"Infusión IV diaria por 5 días, cada 2-6 semanas",52 mg/m²/día,IV,Leucemia Linfoblástica Aguda R/R pediátrica,"Mielosupresión severa, síndrome lisis tumoral, hepatotoxicidad, síndrome fuga capilar, infecciones, náuseas, vómitos","Hipersensibilidad, I.R./I.H. severa"
Clofazimina,Antimicobacteriano (Antileproso,Fenazina),50-100 mg,"Una vez al día (lepra); hasta 300 mg/día (reacciones)""",300 mg/día,Oral,"Lepra (multibacilar, paucibacilar), Reacciones leprosas (Eritema Nodoso Leproso - ENL)","Decoloración piel/fluidos (rojiza-negruzca), ictiosis, dolor abdominal, fotosensibilidad"
Clomifeno,Modulador de Estrógenos,50-100 mg,1 vez/día durante 5 días,100 mg/día,Oral,Inducción de ovulación en infertilidad anovulatoria,"Sofocos, molestias abdominales/pélvicas, aumento tamaño ovario, síntomas visuales, náuseas, cefalea","Hipersensibilidad, embarazo, enfermedad hepática activa, sangrado uterino anormal no diagnosticado, quistes ováricos, tumor hipofisario"
