name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications,drug.pediatric,full_safety_text,cat_pregnancy,cat_lactation,cat_liver,cat_kidney
Aescina,Antiinflamatorio tópico,Aplicar 3 - 4 veces al día,3 - 4 veces al día,No especificado,Tópico (Gel),Traumas / Equimosis / Hematomas,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Agalsidasa alfa / beta,Enzima (Galactosidasa),"Alfa: 0.2 mg/kg

Beta: 1 mg/kg",Cada 2 semanas,No especificado,IV (Infusión),Enfermedad de Fabry,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Agua de mar,Descongestionante nasal,1 - 2 aplicaciones en cada fosa nasal,3 - 4 veces al día,No especificado,Nasal (Spray),Higiene nasal / Congestión,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Albendazol,Antihelmíntico,"<2 años: 200 mg (Dosis única)

>2 años: 400 mg (Dosis única)",Dosis Única (o por 3-5 días según parásito),No especificado,VO (Oral),Parásitos intestinales,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B/C)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B/C)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
Albúmina humana,Expansor de volumen,"Hipoalbuminemia:0.5 - 1 g/kg/dosis

Shock: 0.25 - 1 g/kg/dosis",Según respuesta clínica,No especificado,IV,Hipoalbuminemia / Shock / Quemaduras,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Albuterol (Salbutamol),Broncodilatador (B2 Agonista),"Nebulización:0.15 mg/kg/dosis (min 2.5 mg)

MDI: 90 µg/disparo (1-2 disparos)",c/20 min (crisis) o c/4-6 h (mantenimiento),"Neb: 5 mg/dosis

MDI: 15 gotas (para sol. gotas)",Inhalado / Nebulizado,Asma / Broncoespasmo,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Alcohol etílico (Etanol),Antídoto,"Carga: 0.75 - 1 ml/kg

Mantenimiento:0.5 - 1 ml/kg/hora (diluido al 10%)",Infusión continua,Mantener nivel sérico 100 mg/dL,IV / VO,Intoxicación por metanol o etilenglicol,"Emb: D / X

Lact: Precaución (A*)","Hígado: Precaución (B*)

Riñón: Seguro (A)",yes,"Emb: D / X

Lact: Precaución (A*) | Hígado: Precaución (B*)

Riñón: Seguro (A)",Riesgo (D),A*,,No requiere ajuste
Alcohol polivinílico (Liquifilm),Lubricante ocular,1 ó 2 gotas en cada ojo,3 a 4 veces al día (o según necesidad),No especificado,Oftálmica,Tratamiento del ojo seco / Irritación,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Alclometasona, dipropionato",Corticosteroide tópico,Aplicar en área afectada,2 a 3 veces al día,No especificado,Tópico,Dermatosis inflamatorias / Psoriasis,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Aldesleucina,Factor de crecimiento (Células T),9 millones UI/m²,IV diaria x 4 días (repetir ciclo),No especificado,IV,Carcinoma renal / Melanoma,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Alfacalcidol,Análogo Vitamina D,Véase Vitamina D,-,-,-,-,-,-,yes,- | -,,,,
"Alfentanil, clorhidrato",Analgésico narcótico / Anestésico,"Anestesia: 8 - 75 µg/kg

Procedimientos:7 - 15 µg/kg",Según procedimiento,No especificado,IV,Inducción anestésica / Analgesia,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Alfametildopa (Metildopa),Antihipertensivo (Agonista alfa-2),10 - 20 mg/kg/día,c/12 h,65 mg/kg/día (o 3 g/día),VO (Oral),Hipertensión arterial,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Alfatocoferol,Vitamina,Véase Vitamina E,-,-,-,-,-,-,yes,- | -,,,,
Alginato de sodio,Protector mucosa gástrica,1 - 2 ml/kg/día,c/8 h (después alimentos),No especificado,VO (Oral),Reflujo gastroesofágico / Pirosis,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Alginato de sodio / Bicarbonato,Protector de mucosa / Antiácido,"Lactante: 1-2 ml/dosis

Niños: 2-5 ml/dosis

Adultos: 5-10 ml/dosis",4 a 6 veces al día (tras comidas),No especificado,VO (Oral),Reflujo / Acidez / Dispepsia,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Alglucerasa (Glucocerebrosidasa),Enzima,30 - 60 U/kg,Cada 2 semanas (Variable),No especificado,IV,Enfermedad de Gaucher tipo 1,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Alglucosidasa alfa,Enzima,20 mg/kg,Cada 2 semanas,No especificado,IV,Enfermedad de Pompe,"Emb: B

Lact: Seguro (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
"Alizaprida, clorhidrato",Antiemético,2 - 5 mg/kg/día,c/8 - 12 h,No especificado,VO / IV / IM,Náuseas y vómitos,"Emb: C

Lact: Seguro (A)","Hígado: Reducir Dosis (↓)

Riñón: Reducir Dosis (↓)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Reducir Dosis (↓)

Riñón: Reducir Dosis (↓)",Restringido (C),Seguro (Compatible),Disminuir la dosis,
Alopurinol,Antigotoso / Hipouricemiante,10 mg/kg/día,c/8 - 24 h,800 mg/día (o 400 mg/m²),VO (Oral),Gota / Hiperuricemia (Lisis tumoral),"Emb: C

Lact: Precaución (B)","Hígado: Reducir Dosis (↓)

Riñón: Reducir Dosis (↓)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Reducir Dosis (↓)

Riñón: Reducir Dosis (↓)",Restringido (C),Precaución,Disminuir la dosis,
Alprazolam,Benzodiacepina (Ansiolítico),0.005 - 0.02 mg/kg/dosis,c/8 h,No especificado,VO (Oral),Ansiedad / Pánico / Sedante,"Emb: D (Riesgo)

Lact: Precaución (C)","Hígado: Reducir Dosis (↓)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Precaución (C) | Hígado: Reducir Dosis (↓)

Riñón: Seguro (A)",Riesgo (D),Contraindicado,Disminuir la dosis,No requiere ajuste
Alprostadil (PGE1),Prostaglandina E1,0.05 - 0.1 µg/kg/min,Infusión continua,Disminuir a dosis mínima eficaz,IV / Intraarterial,Mantener ductus arterioso permeable,"Emb: X

Lact: Precaución (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: X

Lact: Precaución (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Contraindicado (X),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Alquitrán de hulla,Queratolítico / Antiseborreico,Aplicar 1 - 2 veces al día,1 - 2 veces al día,No especificado,Tópico,Dermatitis seborreica / Psoriasis,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Alteplase (tPA),Fibrinolítico / Trombolítico,0.75 mg/kg,"En 30 min, luego 0.5 mg/kg en 60 min",No especificado,IV,Trombosis / ACV isquémico,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (C)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (C)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
"Aluminio, acetato (Solución de Burow)",Astringente / Emoliente,Aplicar en área afectada,3 - 4 veces al día,No especificado,Tópico,Afecciones inflamatorias piel (Dermatitis),"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Aluminio, clorhidrato",Secante / Antitranspirante,Aplicar 2 a 4 veces al día,2 a 4 veces al día,No especificado,Tópico,Hiperhidrosis / Bromhidrosis,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Aluminio, hidróxido",Antiácido / Alcalinizante,0.5 - 1 ml/kg/dosis(suspensión),"VO, 1 y 3 h después de alimentos",150 mg/kg/día,VO (Oral),Hiperacidez gástrica / Úlcera,"Emb: C

Lact: Seguro (B)","Hígado: Seguro (A)

Riñón: Evitar o Precaución (D)",yes,"Emb: C

Lact: Seguro (B) | Hígado: Seguro (A)

Riñón: Evitar o Precaución (D)",Restringido (C),Precaución,No requiere ajuste,Dosis debe disminuirse
"Aluminio, hidróxido / Magnesio, hidróxido",Antiácido,0.5 - 2 ml/kg/dosis,1 a 3 horas después de alimentos,No especificado,VO (Oral),Acidez / Indigestión,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Evitar o Precaución (D)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Evitar o Precaución (D)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
"Aluminio, hidróxido / Magnesio, hidróxido",Antiácido,0.5 - 2 ml/kg/dosis,1 y 3 h después de comidas,No especificado,VO (Oral),Hiperacidez / Dispepsia,"Emb: B

Lact: Seguro (C)","Hígado: Seguro (B)

Riñón: Precaución (D)",yes,"Emb: B

Lact: Seguro (C) | Hígado: Seguro (B)

Riñón: Precaución (D)",Aceptado (B),Contraindicado,,Dosis debe disminuirse
"Amantadina, clorhidrato",Antiviral (Influenza A),5 - 8 mg/kg/día,c/12 - 24 h,150 mg/día,VO (Oral),Influenza A (Profilaxis/Tratamiento),"Emb: C

Lact: Precaución (C)","Hígado: Intervalo (I)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Intervalo (I)

Riñón: Seguro (A)",Restringido (C),Contraindicado,,No requiere ajuste
"Amantadina, sulfato",Agente antiparkinsoniano,Adultos: 100 mg (1 cap),c/12 h,300 mg/día,VO (Oral),Parkinsonismo / Reacciones extrapiramidales,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Evitar (X)",Restringido (C),Seguro (Compatible),No requiere ajuste,Evitar su uso
"Ambroxol, clorhidrato",Expectorante / Mucolítico,1.5 - 2 mg/kg/día,c/8 - 12 h,No especificado,VO (Oral),Bronquitis / Secreciones respiratorias,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Ambroxol / Dextrometorfano,Expectorante / Antitusivo,"2-3 años: 5 ml

4-6 años: 7.5 ml

6-12 años: 10 ml",c/6 - 8 h,No especificado,VO (Oral),Tos productiva e irritativa,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Ambroxol / Salbutamol,Expectorante / Broncodilatador,0.1 mg (salbutamol)/kg/dosis,c/8 h,No especificado,VO (Oral),Asma bronquial con secreciones,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (D)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (D)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
"Amikacina, sulfato",Antibiótico (Aminoglucósido),15 - 22.5 mg/kg/día(Dosis Única o dividida),c/24 h (DUD) o c/8-12 h,1.5 g/día,IV / IM,Infecciones Gram-negativos severas,"Emb: C

Lact: Precaución (D)","Hígado: Precaución (B)

Riñón: Evitar / Ajustar (X)",yes,"Emb: C

Lact: Precaución (D) | Hígado: Precaución (B)

Riñón: Evitar / Ajustar (X)",Restringido (C),Precaución,,Evitar su uso
"Amilorida, clorhidrato",Diurético ahorrador de potasio,0.4 - 0.625 mg/kg/día,c/12 h,10 mg/día,VO (Oral),Edema / Hipertensión / Hipopotasemia,"Emb: B

Lact: Precaución (D)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (D) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Aminofilina,Broncodilatador (Xantina),"Carga: 5 mg/kg

Mant: 5 mg/kg/dosis",c/6 h,No especificado,IV / VO,Asma / Broncoespasmo severo,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Amiodarona, clorhidrato",Antiarrítmico (Clase III),"Carga: 10-15 mg/kg/día

Mant: 5 mg/kg/día","Carga: c/12h

Mant: c/24h",No especificado,VO / IV,Arritmias ventriculares y supraventriculares,"Emb: D (Riesgo)

Lact: Precaución (C)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Precaución (C) | Hígado: Seguro (A)

Riñón: Seguro (A)",Riesgo (D),Contraindicado,No requiere ajuste,No requiere ajuste
"Amitriptilina, clorhidrato",Antidepresivo tricíclico,"Depresión: 0.5 - 1 mg/kg/dosis

Hiperactividad: 0.5 - 1 mg/kg/día","c/8 h (Depresión)

al acostarse (TDAH)",No especificado,VO (Oral),Depresión / Dolor neuropático / TDAH,"Emb: C

Lact: Precaución (B*)","Hígado: Precaución (B*)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B*) | Hígado: Precaución (B*)

Riñón: Seguro (A)",Restringido (C),Usar con reserva (Sin datos),,No requiere ajuste
"Amlodipina, besilato",Antihipertensivo (Calcioantagonista),0.1 mg/kg/día,c/24 h (DUD),5 mg/día (hasta 10 mg),VO (Oral),Hipertensión arterial,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Restringido (C),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Amobarbital sódico,Barbitúrico (Sedante/Hipnótico),"Sedante: 1 - 2 mg/kg/dosis

Hipnótico: 2 - 3 mg/kg/dosis","c/6 h (Sedante)

c/12 h (Hipnótico)",No especificado,IV / IM,Sedación / Insomnio,"Emb: D (Riesgo)

Lact: Precaución (B)","Hígado: Precaución (C)

Riñón: Evitar (X)",yes,"Emb: D (Riesgo)

Lact: Precaución (B) | Hígado: Precaución (C)

Riñón: Evitar (X)",Riesgo (D),Precaución,,Evitar su uso
Amodiaquina clorhidrato,Antipalúdico,"25 mg/kg (Total): 10 mg/kg (Día 1), 7.5 mg/kg (Días 2 y 3)",Cada 24 h,No especificado,VO (Oral),Malaria (Paludismo),"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Amonio, cloruro",Acidificante urinario,75 mg/kg/día,c/6 h,6 g/día,VO (Oral),Acidificación orina / Alcalosis metabólica,"Emb: C

Lact: Precaución (B)","Hígado: Intervalo (I)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Intervalo (I)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
Amorolfina,Antimicótico tópico,Aplicar laca una vez por semana,1 vez / semana,No especificado,Tópico (Uñas),Onicomicosis,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Amoxicilina,Antibiótico (Aminopenicilina),"Estándar: 40 mg/kg/día

OMA Alta: 80-90 mg/kg/día",c/8 - 12 h,No especificado,VO (Oral),OMA / Sinusitis / Neumonía / ITRS,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Amoxicilina / Ácido clavulánico,Antibiótico + Inhibidor Betalactamasa,"Estándar: 40 mg/kg/día

Severa: 80-90 mg/kg/día",c/8 - 12 h,No especificado,VO (Oral),Infecciones resistentes a amoxicilina,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Amoxicilina / Sulbactam,Antibiótico + Inhibidor Betalactamasa,100 - 150 mg/kg/día,c/6 - 8 h,No especificado,VO / IM,Infecciones bacterianas,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ampicilina,Antibiótico (Aminopenicilina),"Leve: 50-100 mg/kg/día

Severa/Meningitis:200-300 mg/kg/día",c/6 h,12 g/día,IV / IM / VO,Sepsis / Meningitis / Neumonía,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ampicilina / Sulbactam (Sultamicilina),Antibiótico + Inhibidor Betalactamasa,100 - 150 mg/kg/día,c/6 h,No especificado,IV / IM,Infecciones moderadas a severas,"Emb: B

Lact: Seguro (B)","Hígado: Intervalo (I)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (B) | Hígado: Intervalo (I)

Riñón: Seguro (A)",Aceptado (B),Precaución,,No requiere ajuste
Amprenavir,Antirretroviral (Inh. Proteasa),"Caps: 20 mg/kg (c/12h) o 15 mg/kg (c/8h)

Sol: 22.5 mg/kg (c/12h)",c/8 - 12 h,2400 mg/día,VO (Oral),VIH,"Emb: C

Lact: Precaución (C)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Contraindicado,No requiere ajuste,No requiere ajuste
"Amrinona (Inamrinona, lactato)",Inotrópico / Inhibidor fosfodiesterasa,"Carga: 0.75 mg/kg

Mant: 5 - 10 µg/kg/min",Infusión continua,10 mg/kg/día,IV,Insuficiencia cardíaca congestiva,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Anfotericina B (Convencional/Desoxicolato),Antifúngico sistémico,"Prueba: 0.1 mg/kg

Mant: 0.25 - 1 mg/kg/día",c/24 h (Infusión 4-6h),1.5 mg/kg/día,IV,Micosis sistémicas graves,"Emb: B

Lact: Precaución (D/I)","Hígado: Intervalo (I)

Riñón: Precaución (D/I)",yes,"Emb: B

Lact: Precaución (D/I) | Hígado: Intervalo (I)

Riñón: Precaución (D/I)",Aceptado (B),,,
Anfotericina B complejo lipídico (ABLC),Antifúngico sistémico,2.5 - 5 mg/kg/día,c/24 h,No especificado,IV,Micosis sistémicas (menos nefrotóxico),"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
Anfotericina B liposomal,Antifúngico sistémico,3 - 5 mg/kg/día,c/24 h,No especificado,IV,Micosis sistémicas / Leishmaniasis visceral,"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
Anidulafungina,Antifúngico (Equinocandina),"Carga: 3 mg/kg

Mant: 1.5 - 3 mg/kg/día",c/24 h,No especificado,IV,Candidiasis invasiva,"Emb: C

Lact: No especificado","Hígado: No especificado

Riñón: No especificado",yes,"Emb: C

Lact: No especificado | Hígado: No especificado

Riñón: No especificado",Restringido (C),,,
Antimoniato pentavalente (Meglumina),Antiprotozoario (Leishmanicida),20 mg/kg/día,c/24 h,850 mg/día (o sin tope en visceral),IM / IV,"Leishmaniasis (Cutánea, Mucosa, Visceral)","Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Evitar (X)",Restringido (C),Precaución,No requiere ajuste,Evitar su uso
Antitoxina diftérica,Agente inactivador de toxina,"Profilaxis: 500 - 1.000 UI

Faringe: 20.000 - 40.000 UI

Grave: 80.000 - 120.000 UI",Dosis Única (Previa prueba sensibilidad),No especificado,IM / IV (Diluido),Difteria (Neutralización de toxina),"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Antitoxina tetánica,Agente inactivador de toxina,"Neonatal:10.000 - 20.000 UI

Mayores:50.000 - 100.000 UI

Profilaxis:3.000 - 5.000 UI",Dosis Única (Previa prueba),No especificado,IM / IV,Tétanos (Neutralización de toxina),"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Apomorfina,Emético (Inductor vómito),"Niños: 0.06 mg/kg

Adultos: 6 mg",Dosis Única,No especificado,SC (Subcutánea),Inducción del vómito (Intoxicaciones),"Emb: C

Lact: Precaución (C)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Contraindicado,No requiere ajuste,No requiere ajuste
Apraclonidina,Agonista alfa-adrenérgico,1 gota,c/12 h,No especificado,Oftálmica,Glaucoma / Presión intraocular,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Apresolina,Vasodilatador,Véase Hidralazina,-,-,-,-,-,-,yes,- | -,,,,
Aprotinina,Hemostático / Inhibidor proteasas,"Carga: 1.4 - 4.9 mg/kg

Bomba: 1.4 - 4.9 mg/kg/h",Infusión continua,No especificado,IV,Hemorragias / Cirugía cardíaca,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Arabinosido de adenina,Antiviral,Véase Vidarabina,-,-,-,-,-,-,yes,- | -,,,,
Arabinosido de citosina,Antineoplásico,Véase Citarabina,-,-,-,-,-,-,yes,- | -,,,,
"Arginina, clorhidrato",Agente diagnóstico,Prueba: 500 mg - 1.5 g/kg,Infusión en 30 min,No especificado,IV,Prueba estimulación Hormona Crecimiento,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Aripiprazol,Antipsicótico atípico,"Adolescentes:Iniciar 2 mg/día x 2 días, luego 5 mg/día x 2 días, luego 10 mg/día",1 vez al día,30 mg/día,VO (Oral),Trastorno bipolar I / Esquizofrenia,"Emb: C

Lact: Precaución (C)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Contraindicado,,No requiere ajuste
Artesunato + Amodiaquina,Antipalúdico,"2-11 meses: 1 tab (25/67.5)

1-5 años: 2 tabs

>14 años: 2 tabs (100/270)",1 vez al día x 3 días,No especificado,VO (Oral),Malaria no complicada (P. falciparum),"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Evitar (X)",Restringido (C),Precaución,No requiere ajuste,Evitar su uso
